class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29068,10531,277,USHJA Hunter 3',1,2604,Hand Painted,Jasmine Walsh,Nikki Baroso,,
29068,10531,277,USHJA Hunter 3',2,1728,Simpatico,Stephanie Frey,Joe Nash,,
29068,10531,277,USHJA Hunter 3',3,3043,Playground,Dorothy Douglas,"Bright Shade Farm Stables, Inc.",,
29068,10531,277,USHJA Hunter 3',4,1448,Cattrepel,Elle Bassion,Elle Bassion,,
29068,10531,277,USHJA Hunter 3',5,1049,Vote For Pedro,Aria Waxman,Linda Lauper-Polk,,
29068,10531,277,USHJA Hunter 3',6,2624,Tavish,Debra L. Ward,Cinthia Ane' Mcgreevy,,
29068,10531,277,USHJA Hunter 3',7,2608,Vincent Van Gough,Jasmine Walsh,Gabriella Vitale,,
29068,10531,277,USHJA Hunter 3',8,1249,Colombiana,Erica Robson,Amy Freund,,
29068,10531,277,USHJA Hunter 3',,1048,Specialist,Kate Marisch,Kate Marisch,,
29068,10531,277,USHJA Hunter 3',,1094,Bella Vida,Isaac Leffkowitz,Geddaway Farm,,
29068,10531,277,USHJA Hunter 3',,1199,All Class,Samantha Delany,Samantha Delany,,
29068,10531,277,USHJA Hunter 3',,1217,Dream Boat,Megan Wexler,Meg Atkinson,,
29068,10531,277,USHJA Hunter 3',,1457,Kamilla,Olivia Planer,Olivia Planer,,
29068,10531,277,USHJA Hunter 3',,1823,Aperture Vf,Lia Screnci,Volado Farms,,
29068,10531,277,USHJA Hunter 3',,2049,Top Secret Hk,Helen Goddard,Leslie Chapman,,
29068,10531,277,USHJA Hunter 3',,2623,Sophistakkato,Katherine Nunez,Katherine Nunez,,
29068,10531,277,USHJA Hunter 3',,2794,Joylon Gb,Eva Bernstein,Cane Creek LLC,,
29068,10531,277,USHJA Hunter 3',,2828,Conlondino Ps,Evelyn Byron,"Showcase 81, LLC",,
29068,10531,277,USHJA Hunter 3',,2831,Mugano D'augustijn Z,Chiara Zuccolotto,Cavaletti Equestrian,,
29068,10531,277,USHJA Hunter 3',,2868,Mtm Drop The Mic,Tracy Fenney,Tracy Fenney,,
29068,10531,277,USHJA Hunter 3',,3100,Navigator,Lainey Posa,Sandalwood Farms,,
