class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
33536,12050,150,"$250 Green Pony Conf Hunter- Med/Sm 2'6""/2'3""",3,1027,Fort Knox,Lainey Posa,Jessica Heap,,$37.5
29056,10441,260,"USHJA Hunter 2'3""",8,1027,Fort Knox,Lainey Posa,Jessica Heap,,
29068,10531,277,USHJA Hunter 3',,3100,Navigator,Lainey Posa,Sandalwood Farms,,
29229,0,528,"USEF Hunter Seat Medal 3'6""",1,2389,Fanfan Boy,Lainey Posa,Alyssa Liang,,
