class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29263,10532,271,"USHJA Hunter 2'9""",8,2120,Freeman,Caroline Willard Briles,Linda E. Vellman,,
29263,10532,271,"USHJA Hunter 2'9""",,1748,Center Stage,Kirsten L. Malacarne,Catherine Souza,,
29263,10532,271,"USHJA Hunter 2'9""",,1774,Endeavor In His Name,Alyson Jones,Alyson Jones,,
29263,10532,271,"USHJA Hunter 2'9""",,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
29263,10532,271,"USHJA Hunter 2'9""",,2623,Sophistakkato,Katherine Nunez,Katherine Nunez,,
29263,10532,271,"USHJA Hunter 2'9""",,2969,Kismet,Joshua Tabor,Gunnar P. Roeer,,
29263,10532,271,"USHJA Hunter 2'9""",,2977,Dialey Ak,Helen Goddard,Stacy A. Ryback,,
29262,10532,272,"USHJA Hunter 2'9""",1,1222,Ladies Night,Megan Wexler,Catherine Merrill,,
29262,10532,272,"USHJA Hunter 2'9""",2,1488,Crown,Katherine Addington,Beyaert Farm Inc,,
29262,10532,272,"USHJA Hunter 2'9""",3,2120,Freeman,Caroline Willard Briles,Linda E. Vellman,,
29262,10532,272,"USHJA Hunter 2'9""",4,1453,Childhood Dream,Lanie Nash,Jackie Sawyer,,
29262,10532,272,"USHJA Hunter 2'9""",5,2943,Gladrags,Stephanie Frey,Leslie B. Kramer,,
29262,10532,272,"USHJA Hunter 2'9""",6,1628,Milas D,Jennifer Strickland,Annabelle Campbell,,
29262,10532,272,"USHJA Hunter 2'9""",7,2066,Red Admiral,Elizabeth C. de Golian,Eyckenhoeve Group Inc,,
29262,10532,272,"USHJA Hunter 2'9""",8,1848,Mystery Man,Schuyler Dayner,Schuyler Dayner,,
29262,10532,272,"USHJA Hunter 2'9""",,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
29262,10532,272,"USHJA Hunter 2'9""",,2978,Toussant,Helen Goddard,Laura V. Ganny,,
29261,10532,273,"USHJA Hunter 2'9""",1,1222,Ladies Night,Megan Wexler,Catherine Merrill,,
29261,10532,273,"USHJA Hunter 2'9""",2,2978,Toussant,Helen Goddard,Laura V. Ganny,,
29261,10532,273,"USHJA Hunter 2'9""",3,1453,Childhood Dream,Lanie Nash,Jackie Sawyer,,
29261,10532,273,"USHJA Hunter 2'9""",4,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
29261,10532,273,"USHJA Hunter 2'9""",5,2943,Gladrags,Stephanie Frey,Leslie B. Kramer,,
29261,10532,273,"USHJA Hunter 2'9""",6,1628,Milas D,Jennifer Strickland,Annabelle Campbell,,
29261,10532,273,"USHJA Hunter 2'9""",7,1848,Mystery Man,Schuyler Dayner,Schuyler Dayner,,
29260,10532,274,"USHJA Hunter 2'9"" U/S",1,1453,Childhood Dream,Lanie Nash,Jackie Sawyer,,
29260,10532,274,"USHJA Hunter 2'9"" U/S",2,2978,Toussant,Helen Goddard,Laura V. Ganny,,
29260,10532,274,"USHJA Hunter 2'9"" U/S",3,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
29260,10532,274,"USHJA Hunter 2'9"" U/S",4,1848,Mystery Man,Schuyler Dayner,Schuyler Dayner,,
29260,10532,274,"USHJA Hunter 2'9"" U/S",5,2941,Nightfall,Windsor Ryan,Windsor Stables LLC,,
29260,10532,274,"USHJA Hunter 2'9"" U/S",,1222,Ladies Night,Megan Wexler,Catherine Merrill,,
