class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29054,10534,258,USHJA Hunter 2',8,1874,Icandy,Olivia Johnson,Ariel J. Fletcher,,
29054,10534,258,USHJA Hunter 2',,1090,City Of Angels,Sabine Clark,Sabine Clark,,
29054,10534,258,USHJA Hunter 2',,1093,Worth The Wait,Kennedy Morrison,Faith E. Harrell,,
29054,10534,258,USHJA Hunter 2',,1202,Quizmaster,Lainey Lovell,Kacey Conway,,
29054,10534,258,USHJA Hunter 2',,1487,Annandale Sherlock,Katherine Addington,Linden Nguyen,,
29054,10534,258,USHJA Hunter 2',,1491,Dunkin Donuts,Katherine Addington,Canterbury Farm,,
29054,10534,258,USHJA Hunter 2',,1871,Cherrybrook Valentino,Olivia Johnson,Shelby Romp,,
29054,10534,258,USHJA Hunter 2',,2137,Falling Moon Front Page,Kennedy Kluber,Kennedy Kluber,,
29054,10534,258,USHJA Hunter 2',,2392,Lady Glitter Sparkles,Cassie Gil,Cassie Gil,,
29054,10534,258,USHJA Hunter 2',,2522,Remix De Ganad,Wendell Abraham,Mad Maple Farm LLC,,
29054,10534,258,USHJA Hunter 2',,2661,Ustina,Isaac Leffkowitz,Isaac Leffkowitz,,
29054,10534,258,USHJA Hunter 2',,2838,Delisa Gp,Elaina Davis,T.e.k. Show Horses LLC,,
29054,10534,258,USHJA Hunter 2',,3033,Mr. Ed,Robert P. Stucky,Sharrone Peters,,
29055,10534,259,USHJA Hunter 2 U/S,1,1496,Somermist Secret Admirer,Linden Nguyen,Daniel King,,
29055,10534,259,USHJA Hunter 2 U/S,2,3038,Scarlett O'hara,Katherine Addington,James E. York,,
29055,10534,259,USHJA Hunter 2 U/S,3,3033,Mr. Ed,Robert P. Stucky,Sharrone Peters,,
29055,10534,259,USHJA Hunter 2 U/S,4,2141,So Dashing,Joan V. Ehrhart,Sprucedale Inc,,
29055,10534,259,USHJA Hunter 2 U/S,5,1881,Bff Signatures Holy Ghost,Alyson Jones,Kim Taylor,,
29055,10534,259,USHJA Hunter 2 U/S,6,2138,Madhappy,Jane C. Ehrhart,Allrsfarm LLC,,
29055,10534,259,USHJA Hunter 2 U/S,7,2626,Quicksilver Hercules,Ella Clark,Piper Wise,,
29055,10534,259,USHJA Hunter 2 U/S,8,2386,Marvick,Sierra Montgomery,Kevin C. Eufemia,,
29055,10534,259,USHJA Hunter 2 U/S,,1491,Dunkin Donuts,Katherine Addington,Canterbury Farm,,
29055,10534,259,USHJA Hunter 2 U/S,,2110,Forget Me Not,Annaliz Alberts,"Capall Stables, LLC",,
29055,10534,259,USHJA Hunter 2 U/S,,2387,Winterfells Castle Black,Grace Harrison,Sierra Montgomery,,
29055,10534,259,USHJA Hunter 2 U/S,,2535,Lucky Lakota,Guiliana Itzo,Guiliana Itzo,,
29055,10534,259,USHJA Hunter 2 U/S,,2625,Pie In The Sky,Ella Clark,Ally Tyre,,
29055,10534,259,USHJA Hunter 2 U/S,,2838,Delisa Gp,Elaina Davis,T.e.k. Show Horses LLC,,
29056,10441,260,"USHJA Hunter 2'3""",1,2183,Follow Me Home,Caitlin Maloney,Louise L. Petz,,
29056,10441,260,"USHJA Hunter 2'3""",2,1495,Parade,Devin A. Seek,Wild Sky Farm,,
29056,10441,260,"USHJA Hunter 2'3""",3,1498,Untitled,Katherine Addington,Wild Sky Farm,,
29056,10441,260,"USHJA Hunter 2'3""",4,1966,Carli De Sabette,Vannakay Hurnevich,Vannakay Hurnevich,,
29056,10441,260,"USHJA Hunter 2'3""",5,1029,Halo,Kate Marisch,Kate Marisch,,
29056,10441,260,"USHJA Hunter 2'3""",6,2391,Benlea Magic Dragon,Noemi Varela,Tartan Equestrian,,
29056,10441,260,"USHJA Hunter 2'3""",7,2973,Khan Of Ballmore,Mari Gromkowski,Angela R. Calkins,,
